date,unemployment,inflation,misery_index,recession
1971-01-01,5.9,5.277044854881274,11.177044854881274,0.0
1971-02-01,5.9,4.724409448818889,10.62440944881889,0.0
1971-03-01,6.0,4.438642297650142,10.43864229765014,0.0
1971-04-01,5.9,4.155844155844157,10.055844155844158,0.0
1971-05-01,5.9,4.404145077720201,10.3041450777202,0.0
1971-06-01,5.9,4.381443298969079,10.28144329896908,0.0
1971-07-01,6.0,4.370179948586128,10.370179948586127,0.0
1971-08-01,6.1,4.358974358974366,10.458974358974366,0.0
1971-09-01,6.0,4.081632653061207,10.081632653061206,0.0
1971-10-01,5.8,3.8071065989847774,9.607106598984778,0.0
1971-11-01,6.0,3.535353535353525,9.535353535353526,0.0
1971-12-01,6.0,3.266331658291466,9.266331658291467,0.0
1972-01-01,5.8,3.2581453634085378,9.058145363408538,0.0
1972-02-01,5.7,3.759398496240607,9.459398496240606,0.0
1972-03-01,5.8,3.499999999999992,9.299999999999992,0.0
1972-04-01,5.7,3.4912718204488824,9.191271820448883,0.0
1972-05-01,5.7,3.2258064516129226,8.925806451612923,0.0
1972-06-01,5.7,2.9629629629629672,8.662962962962968,0.0
1972-07-01,5.6,2.9556650246305383,8.555665024630539,0.0
1972-08-01,5.6,2.9484029484029284,8.548402948402927,0.0
1972-09-01,5.5,3.1862745098039325,8.686274509803933,0.0
1972-10-01,5.6,3.1784841075794823,8.778484107579482,0.0
1972-11-01,5.3,3.4146341463414664,8.714634146341467,0.0
1972-12-01,5.2,3.406326034063256,8.606326034063256,0.0
1973-01-01,4.9,3.6407766990291357,8.540776699029136,0.0
1973-02-01,5.0,3.864734299516903,8.864734299516904,0.0
1973-03-01,4.9,4.8309178743961345,9.730917874396134,0.0
1973-04-01,5.0,5.301204819277117,10.301204819277118,0.0
1973-05-01,4.9,5.528846153846145,10.428846153846145,0.0
1973-06-01,4.9,5.995203836930463,10.895203836930463,0.0
1973-07-01,4.8,5.741626794258381,10.54162679425838,0.0
1973-08-01,4.8,7.398568019093088,12.198568019093088,0.0
1973-09-01,4.8,7.3634204275534465,12.163420427553447,0.0
1973-10-01,4.6,8.056872037914697,12.656872037914697,0.0
1973-11-01,4.8,8.25471698113207,13.05471698113207,0.0
1973-12-01,4.9,8.94117647058823,13.84117647058823,1.0
1974-01-01,5.1,9.601873536299754,14.701873536299754,1.0
1974-02-01,5.2,9.999999999999986,15.199999999999985,1.0
1974-03-01,5.1,10.138248847926267,15.238248847926267,1.0
1974-04-01,5.1,10.068649885583515,15.168649885583514,1.0
